['47', ['081109', '203523', '148', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['88', ['081109', '203527', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['89', ['081109', '203527', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['90', ['081109', '203527', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['91', ['081109', '203527', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['92', ['081109', '203527', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['93', ['081109', '203527', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['94', ['081109', '203527', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['95', ['081109', '203527', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['96', ['081109', '203527', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['97', ['081109', '203527', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['98', ['081109', '203527', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['99', ['081109', '203527', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['100', ['081109', '203527', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['101', ['081109', '203527', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['102', ['081109', '203527', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['103', ['081109', '203527', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['104', ['081109', '203527', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['105', ['081109', '203527', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['106', ['081109', '203527', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['107', ['081109', '203527', '157', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['108', ['081109', '203527', '157', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['109', ['081109', '203527', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['110', ['081109', '203527', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['111', ['081109', '203527', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['112', ['081109', '203527', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['113', ['081109', '203527', '161', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['114', ['081109', '203527', '162', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['115', ['081109', '203527', '163', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['116', ['081109', '203527', '164', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['120', ['081109', '203528', '148', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['121', ['081109', '203528', '149', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['122', ['081109', '203528', '149', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['123', ['081109', '203528', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['124', ['081109', '203528', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['125', ['081109', '203528', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['126', ['081109', '203528', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['127', ['081109', '203528', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['128', ['081109', '203528', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['129', ['081109', '203528', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['130', ['081109', '203528', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['131', ['081109', '203528', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['132', ['081109', '203528', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['133', ['081109', '203528', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['134', ['081109', '203528', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['135', ['081109', '203528', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['136', ['081109', '203528', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['137', ['081109', '203528', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['138', ['081109', '203528', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['139', ['081109', '203528', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['140', ['081109', '203528', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['141', ['081109', '203528', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['142', ['081109', '203528', '161', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['143', ['081109', '203528', '162', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['144', ['081109', '203528', '163', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['145', ['081109', '203528', '164', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['146', ['081109', '203528', '165', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['147', ['081109', '203528', '165', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['148', ['081109', '203528', '166', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['149', ['081109', '203528', '166', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['150', ['081109', '203528', '167', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['151', ['081109', '203528', '167', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['152', ['081109', '203528', '168', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['153', ['081109', '203528', '168', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['154', ['081109', '203528', '169', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['155', ['081109', '203528', '170', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['156', ['081109', '203528', '171', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['160', ['081109', '203529', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['161', ['081109', '203529', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['162', ['081109', '203529', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['163', ['081109', '203529', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['164', ['081109', '203529', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['165', ['081109', '203529', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['166', ['081109', '203529', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['167', ['081109', '203529', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['168', ['081109', '203529', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['169', ['081109', '203529', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['170', ['081109', '203529', '157', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['171', ['081109', '203529', '157', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['172', ['081109', '203529', '157', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['173', ['081109', '203529', '157', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['174', ['081109', '203529', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['175', ['081109', '203529', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['176', ['081109', '203529', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['178', ['081109', '203529', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['179', ['081109', '203529', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['180', ['081109', '203529', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['181', ['081109', '203529', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['182', ['081109', '203529', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['183', ['081109', '203529', '161', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['184', ['081109', '203529', '162', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['185', ['081109', '203529', '163', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['186', ['081109', '203529', '164', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['187', ['081109', '203529', '165', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['188', ['081109', '203529', '166', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['189', ['081109', '203529', '169', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['190', ['081109', '203529', '170', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['191', ['081109', '203529', '171', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['192', ['081109', '203529', '172', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['193', ['081109', '203529', '172', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['194', ['081109', '203529', '173', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['195', ['081109', '203529', '174', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['196', ['081109', '203529', '175', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['197', ['081109', '203529', '175', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['198', ['081109', '203529', '176', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['199', ['081109', '203529', '176', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['200', ['081109', '203529', '177', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['214', ['081109', '203530', '149', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['219', ['081109', '203530', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['220', ['081109', '203530', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['222', ['081109', '203530', '152', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['223', ['081109', '203530', '153', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['224', ['081109', '203530', '154', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['225', ['081109', '203530', '155', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['226', ['081109', '203530', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['227', ['081109', '203530', '156', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['230', ['081109', '203530', '158', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['231', ['081109', '203530', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['232', ['081109', '203530', '159', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['233', ['081109', '203530', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['234', ['081109', '203530', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['235', ['081109', '203530', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['236', ['081109', '203530', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['237', ['081109', '203530', '160', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['238', ['081109', '203530', '161', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['239', ['081109', '203530', '161', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['240', ['081109', '203530', '161', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['241', ['081109', '203530', '162', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['242', ['081109', '203530', '162', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['244', ['081109', '203530', '163', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['245', ['081109', '203530', '163', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['246', ['081109', '203530', '167', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['247', ['081109', '203530', '168', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['248', ['081109', '203530', '169', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['249', ['081109', '203530', '170', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['250', ['081109', '203530', '171', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['251', ['081109', '203530', '172', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['252', ['081109', '203530', '173', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['253', ['081109', '203530', '174', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['254', ['081109', '203530', '175', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['255', ['081109', '203530', '176', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['256', ['081109', '203530', '177', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['257', ['081109', '203530', '178', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['258', ['081109', '203530', '178', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['259', ['081109', '203530', '179', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['260', ['081109', '203530', '179', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
