['28755', ['081109', '203932', '307', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['45856', ['081109', '204149', '379', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['46162', ['081109', '204151', '399', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['46918', ['081109', '204159', '360', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['46963', ['081109', '204159', '388', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['48190', ['081109', '204209', '387', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['49280', ['081109', '204217', '396', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['49859', ['081109', '204221', '482', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['49995', ['081109', '204222', '423', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['51089', ['081109', '204232', '393', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['51486', ['081109', '204235', '415', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['51848', ['081109', '204238', '413', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['53623', ['081109', '204252', '424', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['56704', ['081109', '204317', '451', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['56902', ['081109', '204319', '420', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['59181', ['081109', '204337', '445', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['60631', ['081109', '204348', '462', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['61054', ['081109', '204353', '449', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['61944', ['081109', '204359', '538', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['64082', ['081109', '204415', '466', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['64129', ['081109', '204415', '484', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['64760', ['081109', '204421', '497', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['65631', ['081109', '204429', '530', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['66973', ['081109', '204438', '488', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['67176', ['081109', '204440', '498', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['67178', ['081109', '204440', '499', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['68224', ['081109', '204449', '516', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['70712', ['081109', '204509', '512', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['71274', ['081109', '204513', '521', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['72178', ['081109', '204519', '511', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['72191', ['081109', '204519', '517', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['72692', ['081109', '204523', '539', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['75046', ['081109', '204542', '531', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['79616', ['081109', '204614', '555', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['80354', ['081109', '204619', '556', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['81378', ['081109', '204625', '568', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['82423', ['081109', '204631', '573', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['82561', ['081109', '204632', '574', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['83153', ['081109', '204636', '568', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['84491', ['081109', '204644', '568', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['86104', ['081109', '204655', '559', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['86667', ['081109', '204658', '607', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['86837', ['081109', '204659', '589', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['89990', ['081109', '204722', '612', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['90285', ['081109', '204724', '591', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['90506', ['081109', '204726', '604', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['91273', ['081109', '204731', '596', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['91316', ['081109', '204731', '615', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['92202', ['081109', '204736', '610', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['93677', ['081109', '204747', '613', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['96530', ['081109', '204809', '627', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['96918', ['081109', '204812', '624', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['100369', ['081109', '204840', '643', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
