[6335, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.net.SocketTimeoutException'], 'E7']
[28754, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[56901, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[59180, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[60630, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[61053, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[61943, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[64081, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[64128, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[64759, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[65630, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[66972, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[67175, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[67177, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[68223, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[70711, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[71273, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[72177, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[72190, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[72691, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[75045, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[79615, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[80353, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[81377, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[82422, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[82560, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[83152, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[84490, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[86103, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[86666, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[86836, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[89989, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[90284, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[90505, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[91149, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Connection', 'reset', 'by', 'peer'], 'E7']
[91272, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[91315, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[92201, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[93676, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[96529, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[96917, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[100368, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[103961, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Connection', 'reset', 'by', 'peer'], 'E7']
[103965, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Connection', 'reset', 'by', 'peer'], 'E7']
[103968, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.EOFException'], 'E7']
