[6, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '91178', 'from'], 'E9']
[2117, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2119, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2121, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2123, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2125, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2136, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2138, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2140, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2156, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2158, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2160, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2163, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2164, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2166, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2177, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2179, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2181, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2183, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2185, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2187, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2189, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2191, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2198, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2207, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2209, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2214, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2215, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2216, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2217, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2219, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2221, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2223, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2255, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2257, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2259, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2261, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2263, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2265, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2280, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2284, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2285, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2286, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2288, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2295, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2296, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2297, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2298, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2299, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2300, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2304, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2305, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2306, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2310, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2311, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2312, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2315, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2316, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2328, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2358, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2360, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2364, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2365, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2366, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2368, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2371, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2372, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2375, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2376, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2378, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2380, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2381, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2383, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2385, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2399, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2403, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2426, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2430, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2431, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2432, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2434, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2437, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2438, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2440, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2443, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2444, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2447, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2448, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2453, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2454, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2455, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2456, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2476, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2478, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2482, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2508, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2509, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2511, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2514, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2515, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2517, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2518, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2521, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2522, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2524, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2533, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2534, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2535, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2536, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2537, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2538, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2539, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2540, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2543, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2544, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2547, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2548, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2550, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2552, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2556, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2573, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2609, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2611, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2617, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2618, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2619, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2620, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2621, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2629, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2630, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2631, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2632, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2633, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2634, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2637, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2638, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2644, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2645, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2646, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2647, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2648, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2651, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2652, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2656, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2657, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2658, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2660, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2663, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2686, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2691, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2744, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2745, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2746, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2752, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2753, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2754, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2755, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2756, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2759, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2760, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2767, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2768, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2769, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2770, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2771, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2772, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2780, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2781, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2782, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2783, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2784, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2785, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2786, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2790, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2791, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2792, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2794, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2797, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2798, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2802, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2803, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2804, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2808, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2809, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2810, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2812, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2814, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2816, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2842, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2883, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2885, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2892, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2893, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2894, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2895, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2896, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2897, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2901, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2902, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2903, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2905, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2911, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2912, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2913, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2914, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2915, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2916, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2919, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2920, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2922, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
